pure 	      urquahrt	00010	0.00074
pure 	      urquahrt	00015	0.00195
pure 	      urquahrt	00022	0.00477
pure 	      urquahrt	00033	0.01326
pure 	      urquahrt	00050	0.03441
pure 	      urquahrt	00075	0.08746
pure 	      urquahrt	00113	0.24815
pure 	      urquahrt	00170	0.70777
pure 	      urquahrt	00256	1.69925
pure 	      urquahrt	00384	4.34810
pure 	      urquahrt	00576	12.31924
pure 	      urquahrt	00864	31.84512
pure 	      urquahrt	01297	75.37150
pure 	      urquahrt	01946	195.32239
pure 	      urquahrt	02919	505.78071
pure 	      urquahrt	04378	1372.68587
