ref  	      urquahrt	00010	0.00064
ref  	      urquahrt	00015	0.00084
ref  	      urquahrt	00022	0.00131
ref  	      urquahrt	00033	0.00216
ref  	      urquahrt	00050	0.00376
ref  	      urquahrt	00075	0.00900
ref  	      urquahrt	00113	0.01455
ref  	      urquahrt	00170	0.05172
ref  	      urquahrt	00256	0.09766
ref  	      urquahrt	00384	0.25832
ref  	      urquahrt	00576	0.68161
ref  	      urquahrt	00864	2.99631
ref  	      urquahrt	01297	6.95826
ref  	      urquahrt	01946	11.16139
ref  	      urquahrt	02919	35.04842
ref  	      urquahrt	04378	77.13864
