ref  	      urquahrt	00010	0.00058
ref  	      urquahrt	00015	0.00100
ref  	      urquahrt	00022	0.00160
ref  	      urquahrt	00033	0.00267
ref  	      urquahrt	00050	0.00561
ref  	      urquahrt	00075	0.01152
ref  	      urquahrt	00113	0.02440
ref  	      urquahrt	00170	0.05717
ref  	      urquahrt	00256	0.14878
ref  	      urquahrt	00384	0.38025
ref  	      urquahrt	00576	0.98254
ref  	      urquahrt	00864	2.45443
ref  	      urquahrt	01297	7.92390
ref  	      urquahrt	01946	14.20712
ref  	      urquahrt	02919	34.49184
ref  	      urquahrt	04378	78.00719
